iter	RMSE
0	160.7519737
1	154.6942196
2	148.784906
3	143.2100722
4	137.9899814
5	134.2956395
6	129.5920652
7	124.8298926
8	120.3864137
9	116.1346823
10	112.2674334
11	108.6216789
12	105.2748521
13	102.4381401
14	99.40497378
15	96.19645259
16	93.18784584
17	90.43222347
18	87.87342651
19	85.2388723
20	82.81732753
21	80.67441854
22	78.62515195
23	76.64114151
24	75.11197337
25	73.15522438
26	71.73554353
27	70.23339873
28	68.55891497
29	66.94248108
30	65.68391574
31	64.47213109
32	63.14087245
33	62.21134457
34	61.1807853
35	60.02099189
36	58.95436697
37	58.161054
38	57.33657261
39	56.4654673
40	55.55376978
41	55.0193933
42	54.13204501
43	53.31922214
44	52.59004026
45	51.87827875
46	51.2476502
47	50.67827936
48	50.09406465
49	49.61190809
50	49.03843019
51	48.62527637
52	48.23657859
53	47.7363976
54	47.30961939
55	46.8502749
56	46.52421491
57	46.2330826
58	45.95245184
59	45.60095968
60	45.32520361
61	45.00686885
62	44.76719224
63	44.47219349
64	44.14270125
65	43.84534194
66	43.56305047
67	43.36231552
68	43.14121854
69	42.85938779
70	42.67542839
71	42.46087143
72	42.30811637
73	42.11538268
74	41.9297548
75	41.76372887
76	41.56581698
77	41.39219135
78	41.18796982
79	41.04988159
80	40.95760292
81	40.78107567
82	40.60769245
83	40.4753251
84	40.34838946
85	40.19668723
86	40.04091108
87	39.88669991
88	39.77139983
89	39.62661242
90	39.5038414
91	39.4045741
92	39.27691073
93	39.0991515
94	39.01615232
95	38.94606128
96	38.85763218
97	38.74874007
98	38.60465653
99	38.50924495
100	38.36287262
101	38.28277001
102	38.16322749
103	38.07410835
104	37.95321909
105	37.85922371
106	37.75760165
107	37.65847353
108	37.5520569
109	37.47557567
110	37.40150163
111	37.32696089
112	37.19706593
113	37.12505147
114	37.04189313
115	36.9448707
116	36.87941032
117	36.80680428
118	36.74665543
119	36.66333447
120	36.55780652
121	36.46861306
122	36.41949742
123	36.36679969
124	36.30234022
125	36.21753465
126	36.09871378
127	36.02953199
128	35.97934093
129	35.86757926
130	35.82008361
131	35.73588543
132	35.65799836
133	35.59576979
134	35.52005199
135	35.4594098
136	35.40025235
137	35.32641351
138	35.26044935
139	35.20377437
140	35.15552239
141	35.10308509
142	35.03954633
143	34.99425192
144	34.93613601
145	34.88339863
146	34.80752614
147	34.75409866
148	34.69927391
149	34.64108128
150	34.57546009
151	34.504033
152	34.45151137
153	34.39002712
154	34.29453268
155	34.25512927
156	34.20846683
157	34.12581784
158	34.07993806
159	34.0075792
160	33.96546155
161	33.9141698
162	33.86198058
163	33.82593522
164	33.76585053
165	33.70972029
166	33.66545213
167	33.63938367
168	33.59174354
169	33.52931524
170	33.47027107
171	33.40651926
172	33.36006787
173	33.30803234
174	33.25191396
175	33.19567019
176	33.14600688
177	33.07221464
178	33.02070896
179	32.9672567
180	32.90649311
181	32.87571917
182	32.82347743
183	32.75549298
184	32.71940878
185	32.65803014
186	32.57672252
187	32.51120919
188	32.45141885
189	32.41665652
190	32.3815552
191	32.33848393
192	32.27966309
193	32.22496048
194	32.16740352
195	32.13544628
196	32.07479704
197	32.02268456
198	31.97918128
199	31.94667584
200	31.9098283
201	31.86484529
202	31.81928946
203	31.78305391
204	31.73484338
205	31.68603201
206	31.65030908
207	31.58403916
208	31.52039422
209	31.48493445
210	31.44588909
211	31.40555955
212	31.36596149
213	31.32854972
214	31.25847163
215	31.21060514
216	31.16435655
217	31.12473068
218	31.09257559
219	31.05948137
220	31.00700095
221	30.97715734
222	30.92278508
223	30.86954006
224	30.83822845
225	30.79389395
226	30.75850663
227	30.71997146
228	30.68041703
229	30.64206203
230	30.60593671
231	30.57778984
232	30.53958336
233	30.500834
234	30.46068529
235	30.43120059
236	30.37757074
237	30.35239855
238	30.31883644
239	30.29542833
