iter	RMSE
0	174.6934473
1	169.0127528
2	163.3806793
3	159.3683501
4	154.25852
5	149.3378167
6	144.7630275
7	140.7075393
8	136.5892787
9	132.8190545
10	129.0586929
11	125.620193
12	122.7296231
13	119.9066507
14	116.9020095
15	113.9410523
16	111.156349
17	108.6560906
18	106.2812382
19	104.4511186
20	102.4533983
21	100.8885608
22	99.12861005
23	97.43060427
24	95.81478095
25	94.25812389
26	92.8166906
27	91.81719357
28	90.50870454
29	89.29406636
30	88.28250434
31	87.16619926
32	86.17435189
33	85.12600163
34	84.25840055
35	83.4924066
36	82.73870981
37	81.94348942
38	81.25032572
39	80.64132967
40	80.16861799
41	79.68191576
42	79.08775127
43	78.54265106
44	78.00622583
45	77.56697562
46	77.13146815
47	76.62572682
48	76.14464564
49	75.78526317
50	75.32891757
51	74.95810132
52	74.52764115
53	74.17713328
54	73.93290245
55	73.64688771
56	73.41166558
57	73.0687198
58	72.81501954
59	72.5495191
60	72.31161236
61	72.02904496
62	71.81253526
63	71.608884
64	71.47249247
65	71.25128815
66	71.0392289
67	70.89077262
68	70.64097656
69	70.4635323
70	70.30148013
71	70.13266571
72	69.90182494
73	69.72663105
74	69.53151205
75	69.36460913
76	69.21377445
77	69.03314399
78	68.92621776
79	68.8074405
80	68.72331943
81	68.57154841
82	68.37308345
83	68.24765497
84	68.1794907
85	68.03898689
86	67.91394033
87	67.73483152
88	67.64505337
89	67.56334693
90	67.42207362
91	67.29517731
92	67.19472808
93	67.04621771
94	66.91074996
95	66.82872932
96	66.75585639
97	66.62653854
98	66.53144895
99	66.42414321
100	66.30698611
101	66.19476758
102	66.08444723
103	65.98375657
104	65.87578009
105	65.80013003
106	65.68584263
107	65.57638374
108	65.50764271
109	65.38402522
110	65.27240048
111	65.20410732
112	65.05478184
113	64.90176464
114	64.8488057
115	64.7287309
116	64.64867086
117	64.55879162
118	64.4879472
119	64.39755443
120	64.30231753
121	64.20442178
122	64.14958579
123	64.03498791
124	63.96547959
125	63.89633615
126	63.82141074
127	63.77629031
128	63.67603264
129	63.62745153
130	63.55060527
131	63.41874289
132	63.32957401
133	63.25369702
134	63.18902961
135	63.11626523
136	63.00924828
137	62.91221147
138	62.85624991
139	62.78789787
140	62.68907549
141	62.6107075
142	62.5301045
143	62.45158576
144	62.38893872
145	62.29255648
146	62.22179022
147	62.13451657
148	62.08171091
149	61.97374536
150	61.89868519
151	61.81226807
152	61.70763731
153	61.65123368
154	61.58603707
155	61.51994246
156	61.4328173
157	61.36265285
158	61.29207123
159	61.20956099
160	61.13414445
161	61.05871595
162	60.99782388
163	60.94261492
164	60.88241975
165	60.85090763
166	60.78820956
167	60.69553989
168	60.63539982
169	60.57117197
170	60.51160809
171	60.42009214
172	60.33363352
173	60.25723542
174	60.19970403
175	60.11281672
176	60.02878467
177	59.95826714
178	59.88509541
179	59.81499918
180	59.72870622
181	59.66834207
182	59.60620642
183	59.56157531
184	59.51674732
185	59.47078847
186	59.3913048
187	59.30974023
188	59.25965898
189	59.19160061
190	59.13751273
191	59.07994848
192	59.02988841
193	58.94520027
194	58.87985921
195	58.82338238
196	58.76657753
197	58.70171814
198	58.63573073
199	58.55699246
200	58.48583815
201	58.4344107
202	58.35956613
203	58.30910091
204	58.22979782
205	58.17605477
206	58.09161902
207	58.02123251
208	57.94981783
209	57.91361743
210	57.82953585
211	57.78695527
212	57.71537181
213	57.68331398
214	57.62056484
215	57.56633386
216	57.49763686
217	57.45199855
218	57.38326078
219	57.33056591
220	57.29553477
221	57.22873514
222	57.18742443
223	57.15343733
224	57.09389507
225	57.05667958
226	57.00799086
227	56.95691622
228	56.89803409
229	56.8432896
230	56.80643339
231	56.73601938
232	56.67857856
233	56.61828061
234	56.56077834
235	56.51461399
236	56.45671042
237	56.39657334
238	56.34791142
239	56.288239
240	56.25243935
241	56.21216684
242	56.15275295
243	56.0829995
244	56.0536976
245	55.99766402
246	55.95631282
247	55.88811295
248	55.85326597
249	55.83916913
250	55.78802903
251	55.73917284
252	55.69012159
253	55.64848748
254	55.60176162
255	55.56842732
256	55.52819458
257	55.47165701
258	55.40363566
259	55.37419018
260	55.31624028
261	55.27535245
262	55.24505382
263	55.20839409
264	55.16918007
265	55.11755754
266	55.0670162
267	55.01056665
268	54.96184934
269	54.91792793
270	54.89315826
271	54.84045875
272	54.78797221
273	54.76830062
274	54.73335951
275	54.68806737
276	54.62946688
277	54.60587396
278	54.55853455
279	54.50041974
280	54.47642072
281	54.42055713
282	54.39077687
283	54.34977158
284	54.31412265
285	54.2681935
286	54.24022943
287	54.21220718
288	54.17126191
289	54.12452802
290	54.0731099
291	54.02686912
292	53.98346756
293	53.93178789
294	53.90787
295	53.86851159
296	53.81490172
297	53.77272604
298	53.71900028
299	53.68967332
300	53.62555327
301	53.59432365
302	53.5734021
303	53.55313097
304	53.49945587
305	53.43917355
306	53.38979663
307	53.35968248
308	53.32511524
309	53.29180213
310	53.25395236
311	53.20733908
312	53.15910087
313	53.12922417
314	53.08612093
315	53.04685978
316	53.01113966
317	52.95862781
318	52.90978313
319	52.86117354
320	52.83198976
321	52.80183817
322	52.76407317
323	52.72646253
324	52.6601493
325	52.61392465
326	52.55975785
327	52.49651685
328	52.46648034
329	52.43682213
330	52.3940633
331	52.37383949
332	52.32679102
333	52.3252523
334	52.32497721
335	52.28331331
336	52.26239143
337	52.21895489
338	52.2123578
339	52.14800298
340	52.12215981
341	52.07478294
342	52.07065541
343	52.02884421
344	52.01584727
345	52.00349589
346	51.95800784
347	51.91434555
348	51.86741601
349	51.82489922
350	51.79421989
351	51.78342761
352	51.74291822
353	51.73199872
354	51.6796815
355	51.63406203
356	51.627475
357	51.59105484
358	51.56370829
359	51.55345074
360	51.52029036
361	51.50298024
362	51.44592748
363	51.38943009
364	51.38212203
365	51.34264145
366	51.3141068
367	51.27442904
368	51.21808168
369	51.2060797
370	51.19909658
371	51.184258
372	51.13752955
373	51.09141183
374	51.08607656
375	51.03984949
376	50.99799002
377	50.96608465
378	50.90575031
379	50.87386677
380	50.80308245
381	50.75206124
382	50.72988047
383	50.70247611
384	50.67623369
385	50.64581213
386	50.64524025
387	50.59936145
388	50.55612268
389	50.50470232
390	50.4743242
391	50.46230894
392	50.42209535
393	50.37155449
394	50.33098451
395	50.29582343
396	50.2654968
397	50.22122839
398	50.21953105
399	50.18926186
400	50.13650992
401	50.13026592
402	50.08597259
403	50.02569669
404	49.96634865
405	49.93692007
406	49.89805465
407	49.88918396
408	49.8458255
409	49.79665516
410	49.78866091
411	49.76984532
412	49.74409093
413	49.72648841
414	49.68708823
415	49.66214135
416	49.6206713
417	49.58728781
418	49.5433536
419	49.52287876
420	49.49745894
421	49.46839401
422	49.44205518
423	49.40421082
424	49.39335261
425	49.38672665
426	49.35568271
427	49.31285492
428	49.2864679
429	49.26189039
430	49.24667748
431	49.24362662
432	49.23968301
433	49.23578758
434	49.21650548
435	49.20041814
436	49.16687419
437	49.13787153
438	49.09823692
439	49.06917271
440	49.0232982
441	48.96520433
442	48.93435159
443	48.89063543
444	48.84719108
445	48.81793154
446	48.79266311
447	48.75275512
448	48.7392178
449	48.6937946
450	48.65698989
451	48.63388856
452	48.61359781
453	48.58712018
454	48.56171905
455	48.53449881
456	48.50030165
457	48.46470127
458	48.45768547
459	48.42849037
460	48.3906295
461	48.3581957
462	48.34433697
463	48.3044816
464	48.27452152
465	48.26252092
466	48.24143842
467	48.21990427
468	48.16715287
469	48.14142643
470	48.10300182
471	48.06638081
472	48.05383389
473	48.03617931
474	48.01393353
475	47.97761223
476	47.94866478
477	47.90489946
478	47.88569806
479	47.84485507
480	47.83834426
481	47.79909932
482	47.76296276
483	47.75484644
484	47.74254003
485	47.72034264
486	47.70467389
487	47.67902171
488	47.64672631
489	47.6191504
490	47.59421855
491	47.56487671
492	47.56244058
493	47.56115432
494	47.5160517
495	47.4910934
496	47.46099369
497	47.41484705
498	47.39583387
499	47.36598619
500	47.34444219
501	47.3159057
502	47.26134027
503	47.24059071
504	47.20764575
505	47.17744588
506	47.1600667
507	47.10757334
508	47.07173439
509	47.05218405
510	47.01911856
511	47.01789058
512	46.98044869
513	46.95020966
514	46.92794768
515	46.88362178
516	46.88004812
517	46.87457807
518	46.83469106
519	46.81961725
520	46.78503445
521	46.75720062
522	46.72197242
523	46.6913214
524	46.66165354
525	46.64086887
526	46.61925423
527	46.61142676
528	46.57313392
529	46.53566371
530	46.49680704
531	46.48185269
532	46.4565191
533	46.42708972
534	46.40337004
535	46.38766899
536	46.3755269
537	46.34503014
538	46.31751468
539	46.28984925
540	46.26301241
541	46.23625882
542	46.20538908
543	46.19635533
544	46.18704212
545	46.16451262
546	46.13644902
547	46.11426832
548	46.07593723
549	46.03509122
550	46.02059453
551	46.01219371
552	45.9864372
553	45.95316516
554	45.94720165
555	45.92254348
556	45.88747503
557	45.85916546
558	45.82467151
559	45.78451826
560	45.74792049
561	45.71872138
562	45.7100503
563	45.68041668
564	45.67434427
565	45.65733254
566	45.63311424
567	45.6067179
568	45.6035291
569	45.57197466
570	45.5121338
571	45.49385792
572	45.44931186
573	45.43055298
574	45.40188999
575	45.37329965
576	45.36954871
577	45.33684994
578	45.30433334
579	45.29995481
580	45.26886839
581	45.26431101
582	45.23592593
583	45.23224476
584	45.22385226
585	45.20211667
586	45.18201625
587	45.14501625
588	45.10510882
589	45.07675585
590	45.06301233
591	45.04923529
592	45.02332401
593	44.98793851
594	44.96765077
595	44.96670779
596	44.93117157
597	44.90745443
598	44.87581101
599	44.84218729
600	44.83800598
601	44.80157701
602	44.78702512
603	44.76456973
604	44.73541406
605	44.7143045
606	44.69635894
607	44.68731763
608	44.67021473
609	44.66924763
610	44.64154809
611	44.6347098
612	44.62086928
613	44.60045035
614	44.59800927
615	44.56998971
616	44.55735852
617	44.53973944
618	44.52577314
619	44.50049375
620	44.49734978
621	44.48287542
622	44.46890919
623	44.45107218
624	44.40605237
625	44.38238392
626	44.35203456
627	44.32903257
628	44.30630797
629	44.30233457
630	44.27336528
631	44.2479626
632	44.23216516
633	44.21629936
634	44.20368246
635	44.18333358
636	44.15897869
637	44.1567731
638	44.14440527
639	44.13575277
640	44.1274583
641	44.12730206
642	44.10614973
643	44.10121443
644	44.07506326
645	44.04230936
646	44.00118896
647	44.00114408
648	43.97911963
649	43.95633034
650	43.91741651
651	43.89728459
652	43.89039432
653	43.86826595
654	43.84470119
655	43.82107176
656	43.80205448
657	43.79048811
658	43.77144145
659	43.74519558
660	43.74259596
661	43.70545446
662	43.6847161
663	43.66779176
