iter	Passed	Remaining
410	3745	5367
411	3754	5358
412	3761	5346
413	3770	5337
414	3780	5328
415	3788	5318
416	3796	5307
417	3805	5298
418	3813	5288
419	3823	5280
420	3831	5269
421	3839	5258
422	3847	5248
423	3856	5239
424	3864	5228
425	3871	5216
426	3879	5206
427	3887	5195
428	3897	5187
429	3904	5175
430	3912	5165
431	3919	5153
432	3927	5143
433	3936	5134
434	3945	5124
435	3953	5114
436	3962	5105
437	3970	5095
438	3980	5087
439	3988	5076
440	3997	5067
441	4014	5067
442	4021	5056
443	4028	5045
444	4036	5034
445	4043	5023
446	4051	5012
447	4058	5000
448	4065	4989
449	4072	4977
450	4080	4966
451	4086	4954
452	4094	4943
453	4101	4932
454	4113	4927
455	4120	4916
456	4128	4904
457	4136	4895
458	4144	4885
459	4152	4874
460	4163	4868
461	4171	4857
462	4178	4846
463	4187	4837
464	4195	4826
465	4202	4815
466	4209	4804
467	4217	4794
468	4224	4782
469	4232	4772
470	4238	4760
471	4246	4749
472	4254	4740
473	4262	4730
474	4270	4719
475	4277	4709
476	4286	4699
477	4294	4689
478	4302	4679
479	4310	4669
480	4316	4657
481	4324	4647
482	4331	4635
483	4338	4625
484	4345	4614
485	4354	4604
486	4361	4594
487	4370	4585
488	4377	4574
489	4385	4564
490	4393	4554
491	4401	4544
492	4408	4533
493	4412	4519
494	4419	4508
495	4426	4497
496	4433	4486
497	4440	4476
498	4447	4465
499	4454	4454
500	4462	4444
501	4469	4433
502	4477	4423
503	4484	4413
504	4491	4402
505	4499	4392
506	4507	4382
507	4514	4371
508	4521	4361
509	4528	4350
510	4536	4341
511	4543	4330
512	4550	4320
513	4559	4310
514	4569	4302
515	4577	4293
516	4585	4284
517	4593	4274
518	4601	4264
519	4609	4255
520	4617	4245
521	4625	4235
522	4631	4224
523	4640	4215
524	4648	4205
525	4656	4195
526	4663	4185
527	4671	4175
528	4680	4166
529	4687	4156
530	4695	4146
531	4703	4137
532	4710	4127
533	4719	4118
534	4727	4108
535	4735	4099
536	4742	4089
537	4751	4079
538	4758	4070
539	4767	4061
540	4776	4052
541	4784	4042
542	4791	4032
543	4798	4022
544	4806	4012
545	4815	4003
546	4822	3993
547	4831	3985
548	4838	3975
549	4847	3965
550	4855	3956
551	4864	3947
552	4871	3938
553	4879	3927
554	4887	3918
555	4895	3909
556	4903	3899
557	4910	3889
558	4920	3881
559	4928	3872
560	4935	3862
561	4942	3852
562	4950	3842
563	4957	3832
564	4964	3822
565	4972	3813
566	4980	3803
567	4988	3793
568	4996	3785
569	5005	3775
570	5015	3768
571	5024	3759
572	5031	3749
573	5039	3740
574	5049	3731
575	5056	3722
576	5065	3713
577	5073	3704
578	5082	3695
579	5091	3687
580	5100	3678
581	5108	3669
582	5117	3660
583	5125	3651
584	5133	3641
585	5139	3631
586	5147	3621
587	5155	3612
588	5188	3620
589	5194	3609
590	5207	3603
591	5214	3593
592	5221	3583
593	5229	3574
594	5236	3564
595	5242	3553
596	5250	3544
597	5257	3534
598	5263	3523
599	5271	3514
600	5277	3503
601	5286	3494
602	5294	3485
603	5303	3477
604	5310	3467
605	5326	3462
606	5333	3453
607	5341	3443
608	5347	3433
609	5356	3424
610	5364	3415
611	5373	3406
612	5381	3397
613	5391	3389
614	5397	3378
615	5403	3368
616	5411	3359
617	5418	3349
618	5425	3339
619	5433	3330
620	5441	3320
621	5448	3311
622	5457	3302
623	5468	3294
624	5478	3287
625	5487	3278
626	5496	3269
627	5504	3260
628	5512	3251
629	5519	3241
630	5527	3232
631	5535	3223
632	5543	3213
633	5551	3204
634	5558	3195
635	5566	3185
636	5574	3176
637	5581	3166
638	5588	3157
639	5597	3148
640	5604	3138
641	5611	3129
642	5619	3119
643	5626	3110
644	5634	3100
645	5641	3091
646	5649	3082
647	5657	3073
648	5664	3063
649	5673	3054
650	5680	3045
651	5688	3036
652	5696	3026
653	5703	3017
654	5711	3008
655	5719	2999
656	5726	2989
657	5735	2980
658	5742	2971
659	5751	2962
660	5759	2953
661	5766	2944
662	5775	2935
663	5781	2925
664	5789	2916
665	5796	2907
666	5805	2898
667	5812	2889
668	5820	2879
669	5828	2870
670	5836	2861
671	5844	2852
672	5851	2842
673	5857	2833
674	5863	2823
675	5872	2814
676	5880	2805
677	5888	2796
678	5896	2787
679	5904	2778
680	5919	2773
681	5927	2764
682	5934	2754
683	5941	2744
684	5948	2735
685	5955	2726
686	5963	2716
687	5970	2707
688	5978	2698
689	5986	2689
690	5994	2680
691	6001	2671
692	6010	2662
693	6018	2653
694	6026	2644
695	6038	2637
696	6045	2628
697	6053	2619
698	6060	2609
699	6069	2601
700	6076	2591
701	6084	2582
702	6091	2573
703	6100	2564
704	6108	2555
705	6117	2547
706	6124	2538
707	6132	2529
708	6139	2520
709	6148	2511
710	6155	2501
711	6163	2493
712	6171	2484
713	6178	2475
714	6186	2465
715	6193	2456
716	6200	2447
717	6208	2438
718	6216	2429
719	6225	2420
720	6232	2411
721	6238	2402
722	6245	2392
723	6253	2383
724	6260	2374
725	6268	2365
726	6276	2356
727	6283	2347
728	6291	2338
729	6299	2330
730	6307	2321
731	6315	2312
732	6322	2302
733	6329	2293
734	6337	2284
735	6345	2275
736	6353	2267
737	6360	2258
738	6368	2249
739	6374	2239
740	6382	2230
741	6389	2221
742	6397	2212
743	6405	2203
744	6413	2195
745	6421	2186
746	6429	2177
747	6435	2168
748	6443	2159
749	6450	2150
750	6458	2141
751	6466	2132
752	6474	2123
753	6481	2114
754	6489	2105
755	6497	2097
756	6504	2088
757	6511	2079
758	6519	2070
759	6527	2061
760	6534	2052
761	6542	2043
762	6549	2034
763	6557	2025
764	6564	2016
765	6573	2007
766	6580	1999
767	6588	1990
768	6596	1981
769	6604	1972
770	6612	1964
771	6620	1955
772	6628	1946
773	6635	1937
774	6642	1928
775	6650	1919
776	6657	1910
777	6665	1901
778	6673	1893
779	6681	1884
780	6689	1875
781	6697	1866
782	6704	1858
783	6711	1849
784	6719	1840
785	6727	1831
786	6735	1822
787	6742	1814
788	6750	1805
789	6757	1796
790	6765	1787
791	6769	1777
792	6776	1769
793	6785	1760
794	6802	1754
795	6809	1745
796	6816	1736
797	6823	1727
798	6831	1718
799	6838	1709
800	6845	1700
801	6853	1691
802	6860	1683
803	6868	1674
804	6876	1665
805	6884	1657
806	6892	1648
807	6898	1639
808	6929	1636
809	6936	1627
810	6949	1619
811	6956	1610
812	6963	1601
813	6971	1592
814	6979	1584
815	6987	1575
816	6995	1566
817	7002	1557
818	7009	1549
819	7017	1540
820	7024	1531
821	7032	1522
822	7040	1514
823	7047	1505
824	7055	1496
825	7063	1487
826	7071	1479
827	7079	1470
828	7086	1461
829	7094	1453
830	7102	1444
831	7109	1435
832	7116	1426
833	7123	1417
834	7131	1409
835	7139	1400
836	7143	1391
837	7151	1382
838	7159	1373
839	7167	1365
840	7175	1356
841	7184	1348
842	7190	1339
843	7198	1330
844	7204	1321
845	7213	1313
846	7220	1304
847	7228	1295
848	7235	1286
849	7243	1278
850	7252	1269
851	7260	1261
852	7267	1252
853	7274	1243
854	7282	1235
855	7289	1226
856	7297	1217
857	7305	1209
858	7312	1200
859	7319	1191
860	7328	1183
861	7335	1174
862	7343	1165
863	7350	1157
864	7359	1148
865	7367	1139
866	7373	1131
867	7380	1122
868	7388	1113
869	7396	1105
870	7404	1096
871	7411	1087
872	7419	1079
873	7426	1070
874	7434	1062
875	7442	1053
876	7449	1044
877	7457	1036
878	7464	1027
879	7473	1019
880	7480	1010
881	7487	1001
882	7495	993
883	7503	984
884	7511	976
885	7518	967
886	7525	958
887	7533	950
888	7541	941
889	7548	932
890	7560	924
891	7567	916
892	7574	907
893	7581	898
894	7588	890
895	7595	881
896	7602	872
897	7610	864
898	7618	855
899	7625	847
900	7633	838
901	7641	830
902	7649	821
903	7657	813
904	7664	804
905	7672	795
906	7689	788
907	7697	779
908	7704	771
909	7712	762
910	7719	754
911	7727	745
912	7735	737
913	7742	728
914	7752	720
915	7755	711
916	7761	702
917	7768	693
918	7775	685
919	7783	676
920	7790	668
921	7797	659
922	7805	651
923	7813	642
924	7821	634
925	7828	625
926	7836	617
927	7844	608
928	7853	600
929	7860	591
930	7868	583
931	7875	574
932	7883	566
933	7890	557
934	7898	549
935	7905	540
936	7913	532
937	7920	523
938	7929	515
939	7938	506
940	7945	498
941	7952	489
942	7960	481
943	7966	472
944	7973	464
945	7981	455
946	7989	447
947	7996	438
948	8004	430
949	8011	421
950	8019	413
951	8027	404
952	8036	396
953	8044	387
954	8052	379
955	8059	370
956	8066	362
957	8073	353
958	8081	345
959	8089	337
960	8098	328
961	8106	320
962	8115	311
963	8127	303
964	8136	295
965	8138	286
966	8145	277
967	8154	269
968	8161	261
969	8169	252
970	8177	244
971	8185	235
972	8193	227
973	8201	218
974	8207	210
975	8212	201
976	8233	193
977	8239	185
978	8248	176
979	8255	168
980	8263	160
981	8271	151
982	8279	143
983	8287	134
984	8295	126
985	8304	117
986	8313	109
987	8321	101
988	8329	92
989	8335	84
990	8343	75
991	8351	67
992	8359	58
993	8367	50
994	8375	42
995	8383	33
996	8390	25
997	8398	16
998	8406	8
999	8413	0
